"DISTANCE";"DURATION";"PROVIDER";"ROUTEID";"TIMESTAMP"
14677;708;"GoogleMaps";1;"2016-03-05 21:50:27"
14685;685;"Here";1;"2016-03-05 21:55:27"
14677;672;"GoogleMaps";1;"2016-03-05 21:55:27"
14685;686;"Here";1;"2016-03-05 22:00:27"
14677;669;"GoogleMaps";1;"2016-03-05 22:00:27"
14685;679;"Here";1;"2016-03-05 22:05:27"
14677;674;"GoogleMaps";1;"2016-03-05 22:05:27"
14677;679;"GoogleMaps";1;"2016-03-05 22:10:27"
14685;668;"Here";1;"2016-03-05 22:10:27"
14677;680;"GoogleMaps";1;"2016-03-05 22:15:27"
14685;668;"Here";1;"2016-03-05 22:15:27"
14685;686;"Here";1;"2016-03-05 22:20:27"
14677;681;"GoogleMaps";1;"2016-03-05 22:20:27"
14677;681;"GoogleMaps";1;"2016-03-05 22:25:27"
14685;686;"Here";1;"2016-03-05 22:25:27"
14677;681;"GoogleMaps";1;"2016-03-05 22:30:27"
14685;683;"Here";1;"2016-03-05 22:30:27"
14677;687;"GoogleMaps";1;"2016-03-05 22:35:27"
14685;675;"Here";1;"2016-03-05 22:35:27"
14677;685;"GoogleMaps";1;"2016-03-05 22:40:27"
14685;687;"Here";1;"2016-03-05 22:40:27"
14677;685;"GoogleMaps";1;"2016-03-05 22:45:27"
14685;680;"Here";1;"2016-03-05 22:45:27"
14677;684;"GoogleMaps";1;"2016-03-05 22:50:27"
14685;672;"Here";1;"2016-03-05 22:50:27"
14685;674;"Here";1;"2016-03-05 22:55:27"
14677;685;"GoogleMaps";1;"2016-03-05 22:55:27"
14685;670;"Here";1;"2016-03-05 23:00:29"
14685;670;"Here";1;"2016-03-05 23:00:27"
14677;684;"GoogleMaps";1;"2016-03-05 23:00:27"
14677;684;"GoogleMaps";1;"2016-03-05 23:00:29"
14677;710;"GoogleMaps";1;"2016-03-06 05:00:27"
14685;670;"Here";1;"2016-03-06 05:00:27"
14685;677;"Here";1;"2016-03-06 05:05:27"
14677;710;"GoogleMaps";1;"2016-03-06 05:05:27"
14677;710;"GoogleMaps";1;"2016-03-06 05:10:27"
14685;672;"Here";1;"2016-03-06 05:10:27"
14685;668;"Here";1;"2016-03-06 05:15:27"
14677;709;"GoogleMaps";1;"2016-03-06 05:15:27"
14685;665;"Here";1;"2016-03-06 05:20:27"
14677;709;"GoogleMaps";1;"2016-03-06 05:20:27"
14685;661;"Here";1;"2016-03-06 05:25:27"
14677;709;"GoogleMaps";1;"2016-03-06 05:25:27"
14685;660;"Here";1;"2016-03-06 05:30:27"
14677;709;"GoogleMaps";1;"2016-03-06 05:30:27"
14677;709;"GoogleMaps";1;"2016-03-06 05:35:27"
14685;660;"Here";1;"2016-03-06 05:35:27"
14677;702;"GoogleMaps";1;"2016-03-06 05:40:27"
14685;660;"Here";1;"2016-03-06 05:40:27"
14685;660;"Here";1;"2016-03-06 05:45:27"
14677;687;"GoogleMaps";1;"2016-03-06 05:45:27"
14677;672;"GoogleMaps";1;"2016-03-06 05:50:27"
14685;660;"Here";1;"2016-03-06 05:50:27"
14677;671;"GoogleMaps";1;"2016-03-06 05:55:27"
14685;660;"Here";1;"2016-03-06 05:55:27"
14685;676;"Here";1;"2016-03-06 06:00:27"
14677;665;"GoogleMaps";1;"2016-03-06 06:00:27"
14677;665;"GoogleMaps";1;"2016-03-06 06:05:27"
14685;688;"Here";1;"2016-03-06 06:05:27"
14677;652;"GoogleMaps";1;"2016-03-06 06:10:27"
14685;667;"Here";1;"2016-03-06 06:10:27"
14685;667;"Here";1;"2016-03-06 06:15:27"
14677;659;"GoogleMaps";1;"2016-03-06 06:15:27"
14685;681;"Here";1;"2016-03-06 06:20:27"
14677;650;"GoogleMaps";1;"2016-03-06 06:20:27"
14685;672;"Here";1;"2016-03-06 06:25:27"
14677;654;"GoogleMaps";1;"2016-03-06 06:25:27"
14677;656;"GoogleMaps";1;"2016-03-06 06:30:27"
14685;671;"Here";1;"2016-03-06 06:30:27"
14677;656;"GoogleMaps";1;"2016-03-06 06:35:27"
14685;667;"Here";1;"2016-03-06 06:35:27"
14685;657;"Here";1;"2016-03-06 06:40:27"
14677;655;"GoogleMaps";1;"2016-03-06 06:40:27"
14685;662;"Here";1;"2016-03-06 06:45:27"
14677;660;"GoogleMaps";1;"2016-03-06 06:45:27"
14677;661;"GoogleMaps";1;"2016-03-06 06:50:27"
14685;659;"Here";1;"2016-03-06 06:50:27"
14685;659;"Here";1;"2016-03-06 06:55:27"
14677;660;"GoogleMaps";1;"2016-03-06 06:55:27"
14685;669;"Here";1;"2016-03-06 07:00:27"
14677;660;"GoogleMaps";1;"2016-03-06 07:00:27"
14685;663;"Here";1;"2016-03-06 07:05:27"
14677;660;"GoogleMaps";1;"2016-03-06 07:05:27"
14677;655;"GoogleMaps";1;"2016-03-06 07:10:27"
14685;661;"Here";1;"2016-03-06 07:10:27"
14677;651;"GoogleMaps";1;"2016-03-06 07:15:27"
14685;662;"Here";1;"2016-03-06 07:15:27"
14677;650;"GoogleMaps";1;"2016-03-06 07:20:27"
14685;662;"Here";1;"2016-03-06 07:20:27"
14685;659;"Here";1;"2016-03-06 07:25:27"
14677;654;"GoogleMaps";1;"2016-03-06 07:25:27"
14677;655;"GoogleMaps";1;"2016-03-06 07:30:27"
14685;670;"Here";1;"2016-03-06 07:30:27"
14677;655;"GoogleMaps";1;"2016-03-06 07:35:27"
14685;665;"Here";1;"2016-03-06 07:35:27"
14685;665;"Here";1;"2016-03-06 07:40:27"
14677;656;"GoogleMaps";1;"2016-03-06 07:40:27"
14685;665;"Here";1;"2016-03-06 07:45:27"
14677;662;"GoogleMaps";1;"2016-03-06 07:45:27"
14685;663;"Here";1;"2016-03-06 07:50:27"
14677;669;"GoogleMaps";1;"2016-03-06 07:50:27"
14677;669;"GoogleMaps";1;"2016-03-06 07:55:27"
14685;660;"Here";1;"2016-03-06 07:55:27"
14685;707;"Here";1;"2016-03-06 08:00:27"
14677;669;"GoogleMaps";1;"2016-03-06 08:00:27"
14685;707;"Here";1;"2016-03-06 08:05:27"
14677;668;"GoogleMaps";1;"2016-03-06 08:05:27"
14685;679;"Here";1;"2016-03-06 08:10:27"
14677;659;"GoogleMaps";1;"2016-03-06 08:10:27"
14685;670;"Here";1;"2016-03-06 08:15:27"
14677;671;"GoogleMaps";1;"2016-03-06 08:15:27"
14685;672;"Here";1;"2016-03-06 08:20:27"
14677;670;"GoogleMaps";1;"2016-03-06 08:20:27"
14685;710;"Here";1;"2016-03-06 08:25:27"
14677;667;"GoogleMaps";1;"2016-03-06 08:25:27"
14677;667;"GoogleMaps";1;"2016-03-06 08:30:27"
14685;689;"Here";1;"2016-03-06 08:30:27"
14677;667;"GoogleMaps";1;"2016-03-06 08:35:27"
14685;673;"Here";1;"2016-03-06 08:35:27"
14677;668;"GoogleMaps";1;"2016-03-06 08:40:27"
14685;669;"Here";1;"2016-03-06 08:40:27"
14685;666;"Here";1;"2016-03-06 08:45:27"
14677;664;"GoogleMaps";1;"2016-03-06 08:45:27"
14685;664;"Here";1;"2016-03-06 08:50:27"
14677;664;"GoogleMaps";1;"2016-03-06 08:50:27"
14685;676;"Here";1;"2016-03-06 08:55:27"
14677;666;"GoogleMaps";1;"2016-03-06 08:55:27"
14677;665;"GoogleMaps";1;"2016-03-06 09:00:27"
14685;728;"Here";1;"2016-03-06 09:00:27"
14677;664;"GoogleMaps";1;"2016-03-06 09:05:27"
14685;711;"Here";1;"2016-03-06 09:05:27"
14685;681;"Here";1;"2016-03-06 09:10:27"
14677;666;"GoogleMaps";1;"2016-03-06 09:10:27"
14685;672;"Here";1;"2016-03-06 09:15:27"
14677;671;"GoogleMaps";1;"2016-03-06 09:15:27"
14677;673;"GoogleMaps";1;"2016-03-06 09:20:27"
14685;666;"Here";1;"2016-03-06 09:20:27"
14677;674;"GoogleMaps";1;"2016-03-06 09:25:27"
14685;664;"Here";1;"2016-03-06 09:25:27"
14685;673;"Here";1;"2016-03-06 09:30:27"
14677;678;"GoogleMaps";1;"2016-03-06 09:30:27"
14677;678;"GoogleMaps";1;"2016-03-06 09:35:27"
14685;679;"Here";1;"2016-03-06 09:35:27"
14685;670;"Here";1;"2016-03-06 09:40:27"
14677;695;"GoogleMaps";1;"2016-03-06 09:40:27"
14685;666;"Here";1;"2016-03-06 09:45:27"
14677;703;"GoogleMaps";1;"2016-03-06 09:45:27"
14685;666;"Here";1;"2016-03-06 09:50:27"
14677;701;"GoogleMaps";1;"2016-03-06 09:50:27"
14677;673;"GoogleMaps";1;"2016-03-06 09:55:27"
14685;663;"Here";1;"2016-03-06 09:55:27"
14677;673;"GoogleMaps";1;"2016-03-06 10:00:27"
14685;655;"Here";1;"2016-03-06 10:00:27"
14685;656;"Here";1;"2016-03-06 10:05:27"
14677;670;"GoogleMaps";1;"2016-03-06 10:05:27"
14677;709;"GoogleMaps";1;"2016-03-06 10:10:27"
14685;662;"Here";1;"2016-03-06 10:10:27"
14677;710;"GoogleMaps";1;"2016-03-06 10:15:27"
14685;666;"Here";1;"2016-03-06 10:15:27"
14677;711;"GoogleMaps";1;"2016-03-06 10:20:27"
14685;694;"Here";1;"2016-03-06 10:20:27"
14685;667;"Here";1;"2016-03-06 10:25:27"
14677;714;"GoogleMaps";1;"2016-03-06 10:25:27"
14677;711;"GoogleMaps";1;"2016-03-06 10:30:27"
14685;702;"Here";1;"2016-03-06 10:30:27"
14677;713;"GoogleMaps";1;"2016-03-06 10:35:27"
14685;680;"Here";1;"2016-03-06 10:35:27"
14677;724;"GoogleMaps";1;"2016-03-06 10:40:27"
14685;706;"Here";1;"2016-03-06 10:40:27"
14685;683;"Here";1;"2016-03-06 10:45:27"
14677;724;"GoogleMaps";1;"2016-03-06 10:45:27"
14677;723;"GoogleMaps";1;"2016-03-06 10:50:27"
14685;681;"Here";1;"2016-03-06 10:50:27"
14685;666;"Here";1;"2016-03-06 10:55:27"
14677;734;"GoogleMaps";1;"2016-03-06 10:55:27"
14677;737;"GoogleMaps";1;"2016-03-06 11:00:27"
14685;692;"Here";1;"2016-03-06 11:00:27"
14685;679;"Here";1;"2016-03-06 11:05:27"
14677;746;"GoogleMaps";1;"2016-03-06 11:05:27"
14685;682;"Here";1;"2016-03-06 11:10:27"
14677;739;"GoogleMaps";1;"2016-03-06 11:10:27"
14677;732;"GoogleMaps";1;"2016-03-06 11:15:27"
14685;716;"Here";1;"2016-03-06 11:15:27"
14685;689;"Here";1;"2016-03-06 11:20:27"
14677;747;"GoogleMaps";1;"2016-03-06 11:20:27"
14685;687;"Here";1;"2016-03-06 11:25:27"
14677;745;"GoogleMaps";1;"2016-03-06 11:25:27"
14685;701;"Here";1;"2016-03-06 11:30:27"
14677;741;"GoogleMaps";1;"2016-03-06 11:30:27"
14677;723;"GoogleMaps";1;"2016-03-06 11:35:27"
14685;698;"Here";1;"2016-03-06 11:35:27"
14685;695;"Here";1;"2016-03-06 11:40:27"
14677;721;"GoogleMaps";1;"2016-03-06 11:40:27"
14677;733;"GoogleMaps";1;"2016-03-06 11:45:27"
14685;684;"Here";1;"2016-03-06 11:45:27"
14677;728;"GoogleMaps";1;"2016-03-06 11:50:27"
14685;708;"Here";1;"2016-03-06 11:50:27"
14685;709;"Here";1;"2016-03-06 11:55:27"
14677;682;"GoogleMaps";1;"2016-03-06 11:55:27"
14685;703;"Here";1;"2016-03-06 12:00:27"
14677;682;"GoogleMaps";1;"2016-03-06 12:00:27"
14685;699;"Here";1;"2016-03-06 12:05:27"
14677;690;"GoogleMaps";1;"2016-03-06 12:05:27"
14677;692;"GoogleMaps";1;"2016-03-06 12:10:27"
14685;705;"Here";1;"2016-03-06 12:10:27"
14685;687;"Here";1;"2016-03-06 12:15:27"
14677;688;"GoogleMaps";1;"2016-03-06 12:15:27"
14685;693;"Here";1;"2016-03-06 12:20:27"
14677;687;"GoogleMaps";1;"2016-03-06 12:20:27"
14685;696;"Here";1;"2016-03-06 12:25:27"
14677;685;"GoogleMaps";1;"2016-03-06 12:25:27"
14685;693;"Here";1;"2016-03-06 12:30:27"
14677;683;"GoogleMaps";1;"2016-03-06 12:30:27"
14685;669;"Here";1;"2016-03-06 12:35:27"
14677;685;"GoogleMaps";1;"2016-03-06 12:35:27"
14677;730;"GoogleMaps";1;"2016-03-06 12:40:27"
14685;675;"Here";1;"2016-03-06 12:40:27"
14677;724;"GoogleMaps";1;"2016-03-06 12:45:27"
14685;671;"Here";1;"2016-03-06 12:45:27"
14677;688;"GoogleMaps";1;"2016-03-06 12:50:27"
14685;676;"Here";1;"2016-03-06 12:50:27"
14685;680;"Here";1;"2016-03-06 12:55:27"
14677;691;"GoogleMaps";1;"2016-03-06 12:55:27"
14685;663;"Here";1;"2016-03-06 13:00:27"
14677;692;"GoogleMaps";1;"2016-03-06 13:00:27"
14685;675;"Here";1;"2016-03-06 13:05:27"
14677;701;"GoogleMaps";1;"2016-03-06 13:05:27"
14685;728;"Here";1;"2016-03-06 13:10:27"
14677;702;"GoogleMaps";1;"2016-03-06 13:10:27"
14677;702;"GoogleMaps";1;"2016-03-06 13:15:27"
14685;679;"Here";1;"2016-03-06 13:15:27"
14677;701;"GoogleMaps";1;"2016-03-06 13:20:27"
14685;672;"Here";1;"2016-03-06 13:20:27"
14677;700;"GoogleMaps";1;"2016-03-06 13:25:27"
14685;681;"Here";1;"2016-03-06 13:25:27"
14677;702;"GoogleMaps";1;"2016-03-06 13:30:27"
14685;709;"Here";1;"2016-03-06 13:30:27"
14685;667;"Here";1;"2016-03-06 13:35:27"
14677;704;"GoogleMaps";1;"2016-03-06 13:35:27"
14685;663;"Here";1;"2016-03-06 13:40:27"
14677;704;"GoogleMaps";1;"2016-03-06 13:40:27"
14677;703;"GoogleMaps";1;"2016-03-06 13:45:27"
14685;679;"Here";1;"2016-03-06 13:45:27"
14677;694;"GoogleMaps";1;"2016-03-06 13:50:27"
14685;691;"Here";1;"2016-03-06 13:50:27"
14685;694;"Here";1;"2016-03-06 13:55:27"
14677;693;"GoogleMaps";1;"2016-03-06 13:55:27"
14685;682;"Here";1;"2016-03-06 14:00:27"
14677;694;"GoogleMaps";1;"2016-03-06 14:00:27"
14685;677;"Here";1;"2016-03-06 14:05:27"
14677;697;"GoogleMaps";1;"2016-03-06 14:05:27"
14677;696;"GoogleMaps";1;"2016-03-06 14:10:27"
14685;661;"Here";1;"2016-03-06 14:10:27"
14685;663;"Here";1;"2016-03-06 14:15:27"
14677;698;"GoogleMaps";1;"2016-03-06 14:15:27"
14677;699;"GoogleMaps";1;"2016-03-06 14:20:27"
14685;678;"Here";1;"2016-03-06 14:20:27"
